disturbance,transit_time,angular_width,MPA,avg_speed,final_speed,mass,BX,BZ_GSE,Plasma_Temp,Plasma_Speed,Plasma_flow_long,Alpha_Prot_ratio,flow_pressure
2003-10-23 20:06:00,70,95,111,1136,933,1.1E+016,-1.8,5.7,10793,427,-3.5,0.04,1.46
2003-10-26 17:54:00,31.5,171,235,1537,1561,2E+016,6.9,-7.6,95558,469,-7.1,0.04,0.97
2003-10-28 11:30:00,18,360,15,2459,2229,1514320517225656,7.1,1.6,100292,444,-0.3,0.04,2.49
2003-10-29 20:54:00,19,360,190,2029,1670,1.7E+016,4.4,9.2,100292,444,-0.3,0.04,2.49
2003-11-02 17:30:00,36,360,265,2598,2554,4900000000000000,3.9,-2.4,127153,486,0,0.04,1.32
2003-11-13 09:30:00,43,217,58,1141,1175,1.9E+016,-6.5,0.8,245872,650,1.6,0.04,3.55
2003-11-18 08:50:00,46.5,360,206,1660,1645,2.4E+016,-2.6,2,216899,682,2.3,0.04,2.23
2004-01-20 00:06:00,48.5,360,224,965,1074,1E+016,3.9,1.2,181356,563,1.8,0.04,2.47
2004-01-21 04:54:00,57,360,78,762,667,5600000000000000,2.8,-2.7,93681,492,-0.4,0.04,1.89
2004-04-06 13:31:00,60,360,167,1368,1625,5900000000000000,3.1,0.4,150016,559,-1.1,0.04,1.06
2004-04-08 10:30:00,56,360,197,1068,812,1900000000000000,4,0.4,148623,457,5.6,0.056,1.58
2004-04-11 04:30:00,37,314,237,1645,1340,1.1E+016,3.2,-0.1,138592,422,1.7,0.06,1.07
2004-07-20 13:32:00,44,360,334,710,906,1514320517225656,3.4,-2.8,238508,534,5.1,0.032,0.7
2004-07-22 08:30:00,45,132,210,899,809,730000000000000,-7.6,0.4,293750,475,-2.3,0.029,1.81
2004-07-23 16:06:00,42.5,360,278,824,728,1200000000000000,-6.2,3.8,96368,508,0.2,0.126,1.62
2004-07-29 12:06:00,32,360,245,1180,1468,4100000000000000,3.8,-0.2,64059,487,0.3,0.047,0.47
2004-07-31 05:54:00,19,197,287,1192,1568,1.5E+016,0.6,-3.4,186082,477,5.3,0.034,1.51
2004-08-26 12:30:00,68,119,205,184,295,2000000000000000,0,2.8,208941,443,1.7,0.036,2.1
2004-09-12 00:36:00,42.5,360,132,1328,1484,1.9E+016,5.3,-1.3,61606,278,-9.9,0.054,0.08
2004-09-14 10:12:00,89,360,162,462,387,1800000000000000,1.1,6.8,170738,567,0.2,0.06,6.06
2004-11-03 16:06:00,81,360,90,1068,1116,4200000000000000,0.2,5.1,61695,404,1.9,0.051,5.09
2004-11-04 09:54:00,72,360,32,653,719,1514320517225656,3.6,-1.5,111593,425,3.9,0.058,3.05
2004-11-04 23:30:00,66,293,31,1055,1037,1.4E+016,0.4,3.6,78897,392,0.4,0.037,1.09
2004-11-06 02:06:00,79,214,21,1111,1258,6000000000000000,-3,0.4,22178,350,-0.9,0.044,0.99
2004-11-07 16:54:00,49,360,0,1759,1696,1.4E+016,16,-40.1,126219,673,4.3,0.093,18.89
2004-11-10 02:26:00,38,360,302,3387,3142,9.5E+015,-2.8,-20.1,18639,725,-0.2,0.049,10.39
2004-12-03 00:26:00,54,360,333,1216,1108,8300000000000000,2.4,1.5,56287,428,0.3,0.053,1.56
2004-12-08 20:26:00,64,360,310,611,459,5300000000000000,5.5,-0.7,74174,452,-3.3,0.017,1.71
2005-01-04 09:30:00,71,102,290,1087,1161,6900000000000000,-2.6,0.9,241384,743,0.8,0.061,2.75
2005-01-05 15:30:00,73,360,78,735,892,4500000000000000,-4,-0.6,93680,609,-0.7,0.052,1.65
2005-01-13 17:54:00,65,360,97,495,540,420000000000000,1.8,0.7,266756,673,-0.3,0.05,2.27
2005-01-15 06:30:00,26,360,359,2049,1926,1514320517225656,3.6,-0.1,151381,630,0.6,0.043,1.55
2005-01-15 23:07:00,32,360,323,2861,2596,1.8E+016,3.3,-1.3,98207,526,1.5,0.078,1.82
2005-01-17 09:54:00,32,360,334,2094,1700,3.2E+016,-4.7,-0.5,327652,695,1,0.073,56.7
2005-01-20 06:54:00,33.5,360,288,882,940,1514320517225656,-5.3,-0.1,100292,444,-0.3,0.04,2.49
2005-02-13 11:06:00,105,151,129,584,488,1100000000000000,3.1,-1.2,27067,379,-1.3,0.027,1.73
2005-02-17 00:06:00,80,360,292,1135,1252,1514320517225656,-2,2.6,187005,403,2.1,0.028,1.72
2005-05-13 17:12:00,32.5,360,2,1689,394,1514320517225656,-2.5,1.8,197414,535,2.9,0.027,0.85
2005-05-16 13:50:00,85,140,311,405,417,4300000000000000,-7.7,-2.4,3847,559,2,0.043,0.31
2005-05-26 15:06:00,51,360,275,586,565,1514320517225656,1.5,0.7,15263,323,-1.3,0.018,1.01
2005-05-26 21:26:00,78,199,61,420,401,1300000000000000,-0.6,-0.4,19074,310,-0.6,0.015,1.16
2005-05-27 00:26:00,94,139,208,263,408,990000000000000,0,1.6,17274,309,-0.1,0.02,1.31
2005-07-07 17:06:00,57.5,360,39,683,636,1514320517225656,4,-3.8,6387,327,-2.6,0.017,1.18
2005-07-30 06:50:00,47,360,50,1968,1595,1514320517225656,-1.1,-0.6,79551,503,-5.2,0.04,2.02
2005-08-05 08:54:00,86.5,233,52,494,487,2900000000000000,-4.8,3,82713,405,-2.8,0.074,1.95
2005-08-22 01:31:00,52,360,220,1194,1086,5300000000000000,-3.7,0.1,109186,443,2,0.074,2.08
2005-08-22 17:30:00,36,360,227,2378,2612,6300000000000000,-2.4,-0.9,161054,526,5.6,0.04,1.5
2005-08-31 11:30:00,50,360,287,825,1116,2400000000000000,-0.3,-13.4,58147,390,-3.4,0.038,6
2005-09-09 19:48:00,29,360,115,2257,1810,1.6E+017,8.2,3,192206,463,-2.3,0.036,3.77
2005-09-10 21:52:00,32,360,120,1893,1354,3.9E+016,4.7,-3.1,1520878,1045,-3.4,0.04,22.5
2005-09-13 20:00:00,36,360,149,1866,1915,1.9E+016,4.2,-1.6,117603,585,1.2,0.139,0.89
2005-12-29 20:59:00,64,110,166,466,636,4600000000000000,3,-0.2,169535,648,1.1,0.043,1.97
2006-04-10 06:06:00,77,251,313,183,312,3000000000000000,1.2,-1.9,121694,692,-0.8,0.032,1.89
2006-07-06 08:54:00,83.5,360,205,911,995,1514320517225656,0.6,0.8,124664,580,-0.5,0.037,1.68
2006-08-16 07:32:00,56,360,226,563,629,1514320517225656,-2.4,3.6,14119,302,-2.3,0.008,1.12
2006-08-16 16:30:00,66.5,360,161,888,905,1E+016,-1.6,1.8,30007,302,0.7,0.022,1.34
2006-08-26 20:57:00,91.5,208,163,786,956,7400000000000000,-1.4,-1.2,20640,342,-8,0.002,4.19
2006-12-06 20:12:00,31,360,135,376,394,1514320517225656,-3.6,-1.6,230326,572,2.9,0.04,4.06
2006-12-13 02:54:00,34.5,360,193,1774,1622,4700000000000000,3.6,1.4,123770,635,0.7,0.04,0.73
2006-12-14 22:30:00,42.5,360,248,1042,1039,7500000000000000,3,-3.8,28666,759,-1.5,0.04,4.03
2007-11-15 18:50:00,94,199,329,125,158,380000000000000,1.5,2.6,140421,564,-2.1,0.021,1.67
2008-12-12 08:54:00,98,184,317,203,322,810000000000000,1.8,1.3,61614,401,-1.3,0.012,1.55
2009-12-16 04:30:00,77,360,47,276,351,1514320517225656,2.7,-1.3,28471,313,-1.1,0.004,2.48
2010-02-07 03:54:00,92,360,113,421,427,1514320517225656,4.9,-0.4,50235,336,0.3,0.04,0.63
2010-02-12 13:42:00,75,360,44,509,358,1514320517225656,2.8,1.9,47605,325,-3,0.092,0.34
2010-04-03 10:33:00,46,360,171,668,658,1514320517225656,4,-2.6,142430,524,0.8,0.04,2.09
2010-04-08 01:54:00,98,156,72,227,422,4400000000000000,1.2,-1.5,112108,599,0.2,0.04,1.22
2010-04-08 04:54:00,80,160,235,264,235,1300000000000000,2.9,0.3,116870,582,1.2,0.04,1.56
2010-05-23 18:06:00,103,360,317,258,315,1514320517225656,1,0.6,20948,358,-0.6,0.027,0.95
2010-05-24 14:06:00,84,360,280,427,492,1514320517225656,-0.4,1.9,26011,310,0,0.018,0.98
2010-08-01 13:42:00,51,360,84,850,1309,1514320517225656,2.2,-0.2,59508,473,-1.3,0.023,0.57
2011-02-15 02:36:00,70,360,189,669,508,4300000000000000,-0.2,0.8,206581,504,7.8,0.051,2.2
2011-03-03 05:48:00,69,206,204,263,337,1400000000000000,0.7,-1,201528,588,1.9,0.033,2.88
2011-06-02 08:12:00,59,360,98,976,999,1400000000000000,4.5,-2.6,55270,459,-1.1,0.04,0.76
2011-06-21 03:16:00,46,360,65,719,708,6200000000000000,-3.4,3.5,107470,413,0.4,0.052,2.13
2011-08-02 06:36:00,63,268,285,712,554,5100000000000000,1.5,-1.3,74036,453,-1.6,0.026,0.53
2011-08-03 14:00:00,31,360,307,610,492,8700000000000000,2.7,-1.8,37063,346,-0.6,0.02,0.48
2011-08-04 04:12:00,43,360,298,1315,1074,1.1E+016,2.4,0.2,30526,333,-4.4,0.036,0.25
2011-09-06 23:05:00,57,360,300,575,589,1.5E+016,-1.1,-0.7,53745,407,-0.3,0.033,1.38
2011-09-14 00:05:00,81,242,302,408,452,2500000000000000,-0.1,0,92708,538,0,0.06,1.5
2011-09-24 12:48:00,47,360,78,1915,2254,1.6E+016,3.4,-2.1,50528,333,-2,0.031,0.85
2011-10-22 10:36:00,62,360,311,1005,1164,1.2E+016,0.7,2.1,26120,312,-3.9,0.027,0.77
2011-10-27 12:12:00,135,360,54,570,507,5800000000000000,3,-0.4,54833,398,0.9,0.04,0.48
2011-11-09 13:36:00,63,360,48,907,788,1.4E+016,2,1.2,55020,340,-1.1,0.02,0.52
2011-11-26 07:12:00,61,360,327,933,1012,1.2E+016,-3.2,3.6,21345,400,-0.9,0.04,1.79
2012-01-02 15:12:00,72,360,244,1138,1080,8400000000000000,-8,3.2,147115,369,1,0.044,1.12
2012-01-18 12:24:00,64,203,173,267,259,2200000000000000,0.9,-0.1,48082,381,-1.1,0.055,1.15
2012-01-19 14:36:00,62.5,360,20,1120,1499,1.9E+016,1.5,-0.2,53556,352,-0.2,0.053,1.15
2012-01-23 04:00:00,34,360,326,2175,2283,2.6E+016,-1.8,4.9,26525,429,1.6,0.018,1.58
2012-01-27 18:27:00,69,360,296,2508,3090,3.7E+016,-4.1,-1.5,81941,497,3.2,0.069,1.21
2012-02-23 08:12:00,84,360,300,505,585,9.9E+015,-2.9,0.2,55251,413,-0.1,0.054,0.87
2012-03-05 04:00:00,47,360,61,1531,1400,1.4E+016,4.2,-0.6,53523,342,-0.4,0.028,1.04
2012-03-07 00:36:00,43,360,57,2684,2379,1.4E+016,5,-4.3,97798,420,-5.2,0.05,7.92
2012-03-10 18:12:00,38,360,5,1296,1227,1514320517225656,-1.9,-1.4,36965,456,0.3,0.056,0.94
2012-03-13 17:36:00,42.5,360,286,1884,2054,2.3E+016,3.4,-1.2,54386,527,-0.2,0.031,0.31
2012-05-12 00:00:00,112,360,107,805,755,4600000000000000,1.6,0.4,125134,569,-0.8,0.038,0.81
2012-06-14 14:12:00,54,360,144,987,977,1.2E+016,-1.6,-0.4,66139,344,-0.1,0.021,0.58
2012-07-02 08:36:00,58,360,85,1074,878,6000000000000000,0.2,-4.7,149615,652,-0.6,0.03,1.91
2012-07-04 17:24:00,86,360,124,662,553,340000000000000,2.6,0.7,42523,512,-4.3,0.038,1.06
2012-09-28 00:00:00,77.5,360,251,947,716,9.2E+015,0.8,-0.9,52637,376,0.7,0.02,0.71
2012-10-27 17:00:00,103,360,350,317,508,4900000000000000,-1.8,3.7,79150,357,3.5,0.029,0.88
2012-11-09 15:12:00,79,276,157,559,601,5000000000000000,-0.9,0.7,18922,336,0,0.019,1.01
2012-11-20 12:12:00,81,360,322,619,652,8400000000000000,-2.7,-5.2,128529,410,3.1,0.031,1.45
2012-11-23 13:36:00,63,360,136,519,498,6900000000000000,2.8,-3,21494,313,-1.5,0.041,0.95
2013-01-13 12:00:00,100,176,351,229,269,320000000000000,-6.4,-1.8,139912,434,2.2,0.081,3.25
2013-03-15 07:12:00,55,360,112,1063,1247,1.3E+016,-4.5,2.7,160216,451,-0.4,0.035,2.28
2013-04-11 07:36:00,62,360,85,861,792,2.2E+016,-3.3,2.3,150357,449,2.7,0.053,2
2013-05-17 09:24:00,60,360,50,1345,1319,5800000000000000,4.2,-3.5,39678,403,1,0.038,4.09
2013-05-22 13:24:00,52,360,287,1466,1394,3.3E+016,2.6,-1.9,28834,437,0.8,0.049,5.11
2013-06-21 03:24:00,48,207,107,1900,1907,8700000000000000,2.2,-2.2,173232,468,0.6,0.052,3.36
2013-06-23 22:36:00,88,174,302,174,287,390000000000000,-0.4,4.2,87533,545,-1,0.033,1.63
2013-06-28 01:54:00,56,360,214,1037,841,6600000000000000,0.7,-1.4,11000,395,0.6,0.011,0.71
2013-07-06 19:34:00,82,123,127,380,330,2700000000000000,2.9,-3.7,35296,320,-2.3,0.035,1.17
2013-07-09 15:12:00,74,360,174,449,382,3400000000000000,-4.1,10.3,39210,408,1.8,0.038,4.07
2013-08-17 19:24:00,74,360,274,1202,1214,1.2E+016,1.4,1.1,120294,599,-0.5,0.033,0.95
2013-08-20 08:24:00,58,360,210,784,791,1.4E+016,0,0.1,28564,389,-2.9,0.053,0.95
2013-08-21 05:24:00,66,228,17,385,338,3600000000000000,-6.2,-1.7,70395,456,0.2,0.045,3.07
2013-08-30 02:48:00,70,360,55,949,805,7500000000000000,2.8,0.9,22564,350,-8.6,0.022,3.09
2013-09-29 22:40:00,50,360,343,1179,1142,2.2E+016,0.3,-1.4,15320,276,-4.5,0.025,1.62
2013-10-06 14:43:00,53,360,10,567,710,460000000000000,-0.2,-0.6,22433,311,-1.5,0.014,0.7
2013-10-24 01:48:00,98,360,217,399,303,1900000000000000,-2.7,5.6,9657,348,0.8,0.009,1.15
2013-10-25 15:12:00,87,360,68,1081,881,7100000000000000,-1.8,-1.6,8768,322,0.3,0.009,0.83
2013-12-04 23:12:00,72,150,360,490,613,4400000000000000,-1.3,-2.2,34249,348,-0.6,0.04,0.51
2013-12-12 03:54:00,58,276,236,1002,876,1.4E+016,2.1,-1.5,21619,321,-1.3,0.04,0.66
2014-01-04 21:25:00,65,360,195,977,1188,1514320517225656,-2.3,-0.2,100793,465,1.7,0.046,1.37
2014-01-07 18:24:00,49,360,231,1830,1569,2.2E+016,-5.4,-2.8,42667,374,-2.5,0.023,3.14
2014-01-14 10:24:00,103,164,12,404,477,1500000000000000,3.2,0.8,95133,611,3.1,0.041,1.31
2014-01-30 16:24:00,78,360,117,1087,821,1E+016,-3.2,0.7,35825,350,-5.7,0.031,0.18
2014-02-04 01:25:00,86,181,208,528,457,6900000000000000,-3,2,51460,347,-5,0.027,2.41
2014-02-12 06:12:00,79,360,328,373,478,5000000000000000,1.5,0.8,19747,460,-0.6,0.041,0.86
2014-02-18 01:25:00,49,360,44,779,674,1.1E+016,1.9,1.4,92396,389,-0.7,0.096,1.01
2014-02-19 16:00:00,86,267,189,571,512,2900000000000000,-7,-2.6,39356,517,5.1,0.094,2.27
2014-02-25 01:25:00,67,360,73,2147,1809,2.2E+016,-1,1.7,72777,423,0.6,0.043,1.16
2014-03-23 03:48:05,73,360,97,820,841,8300000000000000,-2.4,-0.7,91549,484,-2.5,0.032,0.79
2014-04-01 17:00:00,88,360,219,247,329,2700000000000000,-4.2,1,134569,428,-0.2,0.051,1.22
2014-04-02 14:00:00,80,360,60,1471,1464,1.4E+016,-3.9,1.3,61020,390,-0.2,0.043,0.92
2014-04-08 23:12:00,57,360,115,514,365,6700000000000000,-4.1,-1.1,110840,473,2.8,0.04,0.49
2014-04-18 13:25:51,65,360,238,1203,1279,2E+016,-2.1,2.6,113321,494,-4.1,0.061,2.08
2014-06-25 12:54:00,101,143,32,206,267,720000000000000,-1.1,-0.7,17622,314,-0.5,0.027,4.56
2014-08-15 18:12:00,84,360,323,342,313,2300000000000000,-1.2,-1.4,33592,322,-1.1,0.037,0.8
2014-09-09 00:16:00,81.5,360,59,920,852,1.2E+016,2,0,95766,398,-1,0.057,1.04
2014-09-10 18:24:00,45,360,175,1267,950,2.1E+016,-1.5,3.8,63247,370,-0.9,0.05,4.25
2014-11-01 05:12:00,65,159,125,1628,1666,6700000000000000,5.3,4.9,294286,511,0.3,0.04,2.49
2014-11-07 18:08:00,55,293,75,795,632,1.2E+016,4.6,1,152562,485,4.5,0.04,3.48
2014-12-17 05:00:00,102.5,360,162,587,559,1.2E+016,-2.4,2.4,79777,395,-1.8,0.033,1.18
2015-01-03 03:12:00,99,153,144,163,258,2800000000000000,2.8,2.1,228666,468,11.4,0.074,3.08
2015-03-15 02:00:00,50,360,240,719,611,3E+016,0.7,-3.7,35485,323,-0.4,0.036,4.66
2015-05-06 17:00:00,79,100,273,479,608,1100000000000000,-2.8,7.3,12605,435,-0.4,0.062,5.48
2015-06-09 20:00:00,64,262,67,1036,1007,7400000000000000,3.4,1.3,196768,624,2.5,0.06,1.94
2015-06-18 17:24:00,70,360,92,1305,1182,1.8E+016,-2.4,-1.1,88687,402,0.2,0.028,0.66
2015-06-19 06:42:00,70,360,177,584,865,1.2E+016,-2.5,1.8,17213,354,-4.5,0.016,0.45
2015-06-21 02:48:00,39,360,72,1366,1477,9.6E+015,-1.9,-0.2,11124,284,-3.5,0.023,1.57
2015-06-22 18:36:00,42,360,358,1209,1065,4400000000000000,-5.2,-1.2,617416,712,1.9,0.066,11.88
2015-06-25 08:36:00,42,360,330,1627,1488,3.1E+016,0.2,-2,113699,592,0.3,0.123,2.88
2015-07-10 02:24:00,71,138,175,348,525,4800000000000000,4.7,0.3,38941,320,-4.3,0.032,1.12
2015-08-12 15:12:00,64.5,204,234,647,698,7700000000000000,-1.4,-4.1,72062,414,2.1,0.018,2.18
2015-09-18 05:00:00,49,131,188,823,1196,7800000000000000,-2.8,-0.6,51994,399,-3.9,0.023,2.38
2015-10-22 03:12:00,63,360,206,817,873,1.2E+016,2,3.8,51599,411,-2,0.055,1.86
2015-11-04 14:48:00,57.5,360,288,578,650,6600000000000000,-5,4.4,73968,595,2.3,0.025,2.41
2015-11-16 03:12:00,64,166,210,853,914,1.7E+016,-2.3,-1.3,23005,386,-3.2,0.037,2.29
2015-12-16 09:36:00,77,360,334,579,529,2300000000000000,3.6,1.2,73964,486,2.5,0.032,0.44
2015-12-28 12:39:00,59,360,163,1212,1243,1.9E+016,-1,2,52514,403,-1.9,0.021,1.41
2016-01-14 23:24:00,94,360,234,191,227,3000000000000000,3.4,1.3,49862,406,0.5,0.035,0.72
2016-02-05 21:30:00,138,155,241,445,447,1514320517225656,-2.6,1.7,94277,452,1.7,0.058,1.77
2016-02-11 21:28:00,79,360,260,719,701,3700000000000000,3.9,4.3,34402,355,-4.4,0.065,1.94
2016-03-08 20:00:00,56,124,306,468,569,3400000000000000,-2.8,0.3,37975,429,0.7,0.054,1.98
2016-04-10 11:00:00,91.5,136,25,543,547,4600000000000000,-4.2,2.9,63796,356,-2,0.038,2.32
2016-10-09 02:36:00,98,360,38,179,272,5600000000000000,-2.6,-2,38910,365,-2.3,0.01,1.06
2017-04-18 19:48:00,63,360,67,926,796,2E+016,-6.1,-6.3,167242,383,0.6,0.034,2.62
2017-05-23 05:12:05,137,243,281,259,338,8500000000000000,3.6,-1.2,65096,481,-1.5,0.04,0.69
2017-06-28 16:24:00,72,182,310,229,295,1500000000000000,-3.7,1.1,44969,395,-1.2,0.023,1.17
2017-07-14 01:36:00,51,360,230,1200,1199,2.3E+016,-2.4,1.2,38981,365,-0.4,0.014,1.48
2017-09-04 20:36:00,50.5,360,184,1418,1636,7600000000000000,-2.7,0.7,177923,595,4.5,0.043,2.01
2017-09-06 12:24:00,39,360,201,1571,1569,2.9E+016,-0.3,-0.7,26934,413,-1.8,0.009,0.68
2017-09-10 16:00:00,51,360,262,3163,2558,4.8E+016,-0.16,0.1,100292,444,-0.3,0.04,2.49
2018-02-12 01:25:00,78,360,247,661,754,6200000000000000,1,0.7,19511,317,-0.7,0.003,2.94
2018-03-06 01:30:00,88,136,250,127,157,200000000000000,-2,0.9,45053,366,1.8,0.024,2.08
2018-08-20 21:24:00,102,120,266,126,216,220000000000000,-0.1,0,181614,625,1.2,0.038,1.58
2019-03-08 04:17:00,93,104,292,239,248,640000000000000,2,0.2,70018,413,-0.9,0.018,1.22
2020-05-26 00:39:00,93,95,251,142,216,1514320517225656,-1.8,-1.2,27956,327,0.1,0.005,1.38
2020-11-29 13:24:00,55,360,159,2077,2149,1514320517225656,-3.9,2.3,26031,353,2.4,0.031,0.63
2020-12-07 16:24:00,57,360,194,1407,1308,1514320517225656,-0.9,0.6,71201,353,2.7,0.04,0.6
2021-01-01 22:00:00,98,127,249,190,227,1514320517225656,2.6,0.6,34768,340,0.4,0.033,1.14
2021-01-02 11:24:00,84,155,263,395,361,1514320517225656,1.1,2.6,30713,323,-1.4,0.024,1.15
